,rest_name,locality,rating,cuisines,cost_for_two,votes
1030,Tempting Tales                                     ,Satellite,4,"['North Indian', 'Chinese', 'Fast Food']",500,69
1031,Kitchen Engineers                                     ,Thaltej,3.8,"['Fast Food', 'Burger', 'Pizza', 'Sandwich']",300,82
1032,Stick With It                                     ,"SBR Social, Bodakdev",4.3,"['Desserts', 'Fast Food']",400,72
1033,Teppenyaki                                     ,"Ahmedabad One Mall, Vastrapur",2.5,['Chinese'],550,80
1034,Lucky Chinese & Mughlai                                     ,Lal Darwaja,3.9,"['Chinese', 'North Indian', 'Mughlai']",400,96
1035,Rasam Ras Thal                                     ,Subhash Bridge,3.6,['Gujarati'],600,96
1036,Rollin Greens                                     ,Airport Gandhinagar Highway,3.6,"['Fast Food', 'North Indian', 'Chinese']",200,77
1037,Veeru's Non Veg                                     ,Bapunagar,3.4,"['Fast Food', 'North Indian']",350,114
1038,Charlie The Coffee Junction                                     ,Mani Nagar,3.6,"['Fast Food', 'Sandwich', 'Beverages']",400,88
1039,Premvati                                     ,Shahibagh,3.7,['Street Food'],100,119
1040,Anurag Purohit                                     ,C G Road,3.8,['Sandwich'],300,96
1041,Springold The Luxury Cafe                                     ,Bodakdev,4.1,"['Cafe', 'Fast Food']",500,28
1042,Radhe Restaurant                                     ,Chandkheda,3.5,"['North Indian', 'Gujarati', 'Chinese']",600,114
1043,Greenvita                                     ,Satellite,3.8,"['Beverages', 'Juices']",200,63
1044,Manokamana Momo Magic                                     ,Airport Gandhinagar Highway,3.5,"['Momos', 'Chinese']",300,89
1045,Sweet Chilli Foods                                     ,Thaltej,3.9,"['North Indian', 'Chinese', 'Fast Food']",450,97
1046,La Vita - Urban Chowk                                     ,"Urban Chowk, Thaltej",3.8,"['Pizza', 'Fast Food']",400,61
1047,Shiv Shakti Restaurant                                     ,Gota,2.9,"['North Indian', 'Gujarati', 'Chinese']",450,95
1048,Milkbar And Co.                                     ,Airport Gandhinagar Highway,3.8,['Beverages'],300,81
1049,Vanilla The Bakery And Cafe                                     ,Bopal,4.2,"['Bakery', 'Italian', 'Beverages']",500,29
1050,The Happening House                                     ,Navrangpura,4,"['Chinese', 'Continental', 'Italian']",600,39
1051,Hungry Heart                                     ,Chandkheda,3.5,"['North Indian', 'Chinese', 'Bengali', 'Continental']",500,74
1052,Jugaadi Adda                                     ,Satellite,4.1,['Fast Food'],200,84
1053,Foodway Snacks                                     ,Memnagar,3.6,"['North Indian', 'Gujarati', 'Chinese']",200,68
1054,Bismillah                                     ,Lal Darwaja,3.6,"['Beverages', 'Desserts']",300,86
1055,Fresham Natural                                     ,Thaltej,3.8,"['Healthy Food', 'Salad', 'Juices', 'Frozen Yogurt']",450,78
